,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,Kansas City Chiefs,L 21–44,0–1,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,14:25,Glendale,Arizona,2022
1,2,September 18,at Las Vegas Raiders,W 29–23 (OT),1–1,Allegiant Stadium,Recap,Arizona Cardinals,None (indoor stadium),72,14:25,Paradise,Nevada,2022
2,3,September 25,Los Angeles Rams,L 12–20,1–2,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,14:25,Glendale,Arizona,2022
3,4,October 2,at Carolina Panthers,W 26–16,2–2,Bank of America Stadium,Recap,Arizona Cardinals,Mostly cloudy,65,15:05,Charlotte,North Carolina,2022
4,5,October 9,Philadelphia Eagles,L 17–20,2–3,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,14:25,Glendale,Arizona,2022
5,6,October 16,at Seattle Seahawks,L 9–19,2–4,Lumen Field,Recap,Arizona Cardinals,Sunny,72,14:05,Seattle,Washington,2022
6,7,October 20,New Orleans Saints,W 42–34,3–4,State Farm Stadium,Recap,Arizona Cardinals,Sunny,89,18:15,Glendale,Arizona,2022
7,8,October 30,at Minnesota Vikings,L 26–34,3–5,U.S. Bank Stadium,Recap,Arizona Cardinals,None (indoor stadium),72,12:00,Minneapolis,Minnesota,2022
8,9,November 6,Seattle Seahawks,L 21–31,3–6,State Farm Stadium,Recap,Arizona Cardinals,Sunny,76,16:05,Glendale,Arizona,2022
9,10,November 13,at Los Angeles Rams,W 27–17,4–6,SoFi Stadium,Recap,Arizona Cardinals,Sunny,68,16:25,Inglewood,California,2022
10,11,November 21,San Francisco 49ers,L 10–38,4–7,Estadio Azteca (Mexico City),Recap,Arizona Cardinals,Rain,60,20:15,Mexico City,Mexico,2022
11,12,November 27,Los Angeles Chargers,L 24–25,4–8,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,16:05,Glendale,Arizona,2022
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Arizona Cardinals,,,,,,2022
13,14,December 12,New England Patriots,L 13–27,4–9,State Farm Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,20:15,Glendale,Arizona,2022
14,15,December 18,at Denver Broncos,L 15–24,4–10,Empower Field at Mile High,Recap,Arizona Cardinals,Parly cloudy,39,16:05,Denver,Colorado,2022
15,16,December 25,Tampa Bay Buccaneers,L 16–19 (OT),4–11,State Farm Stadium,Recap,Arizona Cardinals,Clear,69,20:20,Glendale,Arizona,2022
16,17,January 1,at Atlanta Falcons,L 19–20,4–12,Mercedes-Benz Stadium,Recap,Arizona Cardinals,None (retractable roof closed),72,13:00,Atlanta,Georgia,2022
17,18,January 8,at San Francisco 49ers,L 13–38,4–13,Levi's Stadium,Recap,Arizona Cardinals,Cloudy,60,16:25,Santa Clara,California,2022
